GEO_ID,Geographic Area Name
S2504_C03_034E,Estimate Percent renter-occupied housing units Occupied housing units VEHICLES AVAILABLE 3 or more vehicles available
S2504_C03_034M,Estimate Percent renter-occupied housing units Occupied housing units TELEPHONE SERVICE AVAILABLE With telephone service
S2504_C03_035E,Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Utility gas
S2504_C03_035M,"Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Bottled, tank, or LP gas"
S2504_C03_036E,Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Electricity
S2504_C03_036M,"Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Fuel oil, kerosene, etc."
S2504_C03_037E,Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Coal or coke
S2504_C03_037M,Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL All other fuels
S2504_C03_038E,Estimate Percent renter-occupied housing units Occupied housing units HOUSE HEATING FUEL No fuel used
S2504_C03_038M,
S2504_C04_001E,
S2504_C04_001M,
S2504_C04_002E,
S2504_C04_002M,
S2504_C04_003E,
S2504_C04_003M,
S2504_C04_004E,
S2504_C04_004M,
S2504_C04_005E,
S2504_C04_005M,
S2504_C04_006E,
S2504_C04_006M,
S2504_C04_007E,
S2504_C04_007M,
S2504_C04_008E,
S2504_C04_008M,
S2504_C04_009E,
S2504_C04_009M,
S2504_C04_010E,
S2504_C04_010M,
S2504_C04_011E,
S2504_C04_011M,
S2504_C04_012E,
S2504_C04_012M,
S2504_C04_013E,
S2504_C04_013M,
S2504_C04_014E,
S2504_C04_014M,
S2504_C04_015E,
S2504_C04_015M,
S2504_C04_016E,
S2504_C04_016M,
S2504_C04_017E,
S2504_C04_017M,
S2504_C04_018E,
S2504_C04_018M,
S2504_C04_019E,
S2504_C04_019M,
S2504_C04_020E,
S2504_C04_020M,
S2504_C04_021E,
S2504_C04_021M,
S2504_C04_022E,
S2504_C04_022M,
S2504_C04_023E,
S2504_C04_023M,
S2504_C04_024E,
S2504_C04_024M,
S2504_C04_025E,
S2504_C04_025M,
S2504_C04_026E,
S2504_C04_026M,
S2504_C04_027E,
S2504_C04_027M,
S2504_C04_028E,
S2504_C04_028M,
S2504_C04_029E,
S2504_C04_029M,
S2504_C04_030E,
S2504_C04_030M,
S2504_C04_031E,
S2504_C04_031M,
S2504_C04_032E,
S2504_C04_032M,
S2504_C04_033E,
S2504_C04_033M,
S2504_C04_034E,
S2504_C04_034M,
S2504_C04_035E,
S2504_C04_035M,
S2504_C04_036E,
S2504_C04_036M,
S2504_C04_037E,
S2504_C04_037M,
S2504_C04_038E,
S2504_C04_038M,
S2504_C05_001E,
S2504_C05_001M,
S2504_C05_002E,
S2504_C05_002M,
S2504_C05_003E,
S2504_C05_003M,
S2504_C05_004E,
S2504_C05_004M,
S2504_C05_005E,
S2504_C05_005M,
S2504_C05_006E,
S2504_C05_006M,
S2504_C05_007E,
S2504_C05_007M,
S2504_C05_008E,
S2504_C05_008M,
S2504_C05_009E,
S2504_C05_009M,
S2504_C05_010E,
S2504_C05_010M,
S2504_C05_011E,
S2504_C05_011M,
S2504_C05_012E,
S2504_C05_012M,
S2504_C05_013E,
S2504_C05_013M,
S2504_C05_014E,
S2504_C05_014M,
S2504_C05_015E,
S2504_C05_015M,
S2504_C05_016E,
S2504_C05_016M,
S2504_C05_017E,
S2504_C05_017M,
S2504_C05_018E,
S2504_C05_018M,
S2504_C05_019E,
S2504_C05_019M,
S2504_C05_020E,
S2504_C05_020M,
S2504_C05_021E,
S2504_C05_021M,
S2504_C05_022E,
S2504_C05_022M,
S2504_C05_023E,
S2504_C05_023M,
S2504_C05_024E,
S2504_C05_024M,
S2504_C05_025E,
S2504_C05_025M,
S2504_C05_026E,
S2504_C05_026M,
S2504_C05_027E,
S2504_C05_027M,
S2504_C05_028E,
S2504_C05_028M,
S2504_C05_029E,
