county,prop_green,prop_crosswalk,prop_not_single_family_house,prop_single_lane,prop_triple_lane,prop_visible_wires,prop_sidewalk,prop_dilapidated_building
20195,0.74911032,0.003558719,0.282918149,0.877817319,0,0.56227758,0.080664294,0.069395018
20197,0.84673155,0.002107441,0.29285769,0.830523412,0,0.402981071,0.027511687,0.13694536
20199,0.714154412,0.003676471,0.374080882,0.818014706,0,0.501838235,0.076286765,0.061580882
20201,0.747735343,0.000869628,0.363939416,0.742227698,0,0.507283136,0.060366693,0.108051308
20203,0.641093474,0.002645503,0.427689594,0.760141093,0,0.694003527,0.101410935,0.134038801
20205,0.92877907,0.009366925,0.116440568,0.87871447,0,0.515503876,0.193959948,0.103036176
20207,0.929565702,0.004732739,0.150612472,0.799832962,0,0.496937639,0.136971047,0.082962138
20209,0.904091967,0.015844005,0.185698487,0.782607683,0,0.49363213,0.285942957,0.216600698
21001,0.962466488,0.00157028,0.104212945,0.645921103,0,0.357832248,0.037035619,0.100957488
21003,0.928957138,0.002249972,0.120036,0.666441669,0,0.31122736,0.043705704,0.164079199
21005,0.960130187,0.000861533,0.065476475,0.771598143,0,0.286890346,0.093476284,0.093332695
21007,0.975522743,0.000346844,0.056139134,0.770934496,0,0.318055693,0.022693489,0.071598454
21009,0.939480385,0.001815353,0.101400415,0.736726707,0,0.393035647,0.074594493,0.114791588
21011,0.937019313,0.000683644,0.13946334,0.744317211,0,0.417364553,0.060246112,0.113655785
21013,0.905805977,0.005756982,0.222072513,0.712028417,0,0.347378736,0.132043116,0.176629103
21015,0.915036907,0.007096111,0.144871014,0.721729701,0,0.419716917,0.270698577,0.139277833
21017,0.915046236,0.002808746,0.216575923,0.705124881,0,0.409904071,0.132313542,0.213680754
21019,0.92699626,0.008936428,0.117823361,0.822783766,0,0.40191927,0.173009239,0.151534316
21021,0.914380553,0.005223079,0.16811481,0.720736112,0,0.457190276,0.156790003,0.172605682
21023,0.950832672,0.000660851,0.088950568,0.646708961,0,0.369680148,0.067935501,0.153713984
21025,0.95246838,0.000713994,0.218584251,0.650142799,0,0.160138719,0.045593635,0.116585067
21027,0.938577017,0.001057194,0.091059661,0.801388448,0,0.421890968,0.031927265,0.104838425
21029,0.932752134,0.002351324,0.0702865,0.805418897,0,0.450332803,0.176240776,0.148314282
21031,0.97362178,0.000451875,0.068402621,0.72362178,0,0.22938319,0.036658382,0.093651152
21033,0.970348259,0.001840796,0.068706468,0.745870647,0,0.307114428,0.059004975,0.07920398
21035,0.95447648,0.005753667,0.089845726,0.709755943,0,0.358655792,0.065155539,0.105241528
21037,0.926261034,0.008664771,0.178968774,0.70314319,0,0.442065398,0.33016018,0.147065325
21039,0.972369976,0.000886525,0.093232861,0.671690307,0,0.285756501,0.019355792,0.103723404
21041,0.946037847,0.00487877,0.155085748,0.689680662,0,0.365759905,0.12403903,0.16499113
21043,0.962671803,0.001197418,0.142544773,0.79633486,0,0.263536027,0.065337359,0.140201999
21045,0.934434311,0.000554597,0.126817846,0.691520828,0,0.312731082,0.02544984,0.119546463
21047,0.863464957,0.003970298,0.216190176,0.661760553,0,0.451318172,0.081116999,0.167865508
21049,0.934514262,0.002824465,0.127693702,0.776971895,0,0.356126648,0.171594951,0.126996304
21051,0.893380669,0.000687128,0.283898305,0.640517636,0,0.241067339,0.057604214,0.187356848
21053,0.966643197,0.003256469,0.073490583,0.677873614,0,0.37590213,0.05430382,0.099366309
21055,0.976380572,0.000864937,0.064337991,0.698403194,0,0.321157685,0.043845642,0.072322023
21057,0.98994534,0.000539847,0.054996963,0.695795938,0,0.287536271,0.058236048,0.067143532
21059,0.904433498,0.008229499,0.139090119,0.741727036,0,0.479831933,0.22013909,0.12494929
21061,0.957441253,0.000870322,0.10156658,0.703916449,0,0.380852916,0.031331593,0.115926893
21063,0.967788741,0.000580383,0.251596053,0.616656994,0,0.177597214,0.020603598,0.174405107
21065,0.953386345,0.004524267,0.215656704,0.647655607,0,0.344803948,0.112421168,0.167672059
21067,0.90914885,0.011557907,0.194122499,0.739609666,0,0.40661018,0.534491623,0.237354857
21069,0.927089098,0.001245158,0.138350858,0.731184283,0,0.467556724,0.050083011,0.111303265
21071,0.968555498,0.001815353,0.141856846,0.661760892,0,0.243322095,0.086358921,0.101854253
21073,0.946562905,0.006003335,0.138595516,0.764906429,0,0.318473226,0.177654252,0.160348342
21075,0.945911751,0.001660604,0.122252096,0.679424324,0,0.350387474,0.052585798,0.085086193
21077,0.953393136,0.001170047,0.102964119,0.664391576,0,0.404641186,0.06649766,0.155031201
21079,0.884014518,0.001341329,0.205933407,0.744200726,0,0.426858135,0.05515228,0.185182263
21081,0.919238204,0.00214792,0.150855588,0.705734947,0,0.414548579,0.065368368,0.165676237
21083,0.954265111,0.003202391,0.120338742,0.653074295,0,0.380681279,0.052732707,0.119508492
21085,0.92826337,0.002300173,0.114893617,0.741000575,0,0.376279471,0.043789534,0.13240368
21087,0.964756964,0.000620277,0.098624112,0.760854855,0,0.332017593,0.030224428,0.105447164
21089,0.958771444,0.003099059,0.068068622,0.820531267,0,0.311068069,0.112174875,0.115329275
21091,0.953818828,0.000828893,0.090349319,0.739846063,0,0.287744227,0.052338662,0.104085258
21093,0.926573512,0.002490887,0.111482382,0.776889429,0,0.437958688,0.131725395,0.131494532
21095,0.895625812,0.000757904,0.231160676,0.560415764,0,0.229861412,0.09138155,0.163598961
21097,0.953615011,0.004461357,0.143222674,0.641451253,0,0.38741635,0.091785855,0.171827844
21099,0.972150298,0.000662371,0.066207021,0.790208948,0,0.277352923,0.03630999,0.084121154
21101,0.948137756,0.003326243,0.098678554,0.833981989,0,0.372312984,0.13110377,0.102140562
21103,0.952750428,0.001230736,0.106485445,0.725171233,0,0.41989512,0.055008562,0.119702483
21105,0.972750643,0.001285347,0.091002571,0.702827763,0,0.275578406,0.021722365,0.082005141
21107,0.922361245,0.004926899,0.146661167,0.739974334,0,0.46480132,0.107475136,0.124753655
21109,0.961881693,0.000764916,0.234574197,0.726415094,0,0.291050484,0.019887812,0.122131566
21111,0.915572008,0.014223232,0.172450276,0.78566437,0,0.449086156,0.466710648,0.121854078
21113,0.919089376,0.002765599,0.110927487,0.802293423,0,0.376762226,0.235649241,0.178718381
21115,0.968842893,0.002312011,0.166024441,0.674887152,0,0.268853903,0.118242871,0.160960035
