Zip_Code,total_num,total_green,total_crosswalk,total_not_single_family_house,total_single_lane,total_triple_lane,total_visible_wires,total_sidewalk,total_dilapidated_building,prop_green,prop_crosswalk,prop_not_single_family_home,prop_single_lane,prop_triple_lane,prop_visible_wire,prop_sidewalk,prop_dilapidated_building
1003,138,118,17,90,64,0,74,68,41,0.855072464,0.123188406,0.652173913,0.463768116,0,0.536231884,0.492753623,0.297101449
1007,6638,6582,27,839,4952,0,2200,359,1109,0.991563724,0.00406749,0.126393492,0.746007834,0,0.331425128,0.054082555,0.167068394
1008,2646,2633,15,97,1608,0,339,69,356,0.995086924,0.005668934,0.036659108,0.607709751,0,0.128117914,0.026077098,0.134542706
1009,208,189,4,50,151,0,75,74,53,0.908653846,0.019230769,0.240384615,0.725961538,0,0.360576923,0.355769231,0.254807692
1010,3431,3402,14,507,1931,0,976,154,625,0.991547654,0.004080443,0.147770329,0.562809676,0,0.284465171,0.044884873,0.182162635
1011,1972,1956,11,335,1004,0,394,71,217,0.99188641,0.005578093,0.169878296,0.509127789,0,0.19979716,0.036004057,0.110040568
1012,558,555,2,62,318,0,178,13,110,0.994623656,0.003584229,0.111111111,0.569892473,0,0.318996416,0.023297491,0.197132616
1013,10041,8349,236,2343,8012,0,6258,5087,3448,0.831490887,0.023503635,0.233343293,0.797928493,0,0.623244697,0.506622846,0.343392092
1020,17520,15621,469,3461,13052,0,10944,7110,5373,0.891609589,0.026769406,0.197545662,0.744977169,0,0.624657534,0.405821918,0.306678082
1022,1264,1132,36,240,907,0,813,517,414,0.89556962,0.028481013,0.189873418,0.717563291,0,0.643196203,0.409018987,0.327531646
1026,1158,1157,3,210,647,0,279,21,85,0.999136442,0.002590674,0.18134715,0.558721934,0,0.240932642,0.018134715,0.073402418
1027,7136,6777,69,950,5678,0,2770,1443,1518,0.949691704,0.009669283,0.133127803,0.795683857,0,0.388172646,0.202214126,0.212724215
1028,12618,12418,166,653,9961,0,4639,2525,1750,0.984149628,0.013155809,0.051751466,0.789427802,0,0.36764939,0.200110953,0.138690759
1029,745,738,0,19,499,0,146,13,78,0.990604027,0,0.025503356,0.669798658,0,0.195973154,0.017449664,0.104697987
1030,8987,8648,108,737,7228,0,3780,3133,2494,0.962278847,0.012017358,0.082007344,0.804272839,0,0.420607544,0.348614666,0.277511962
1031,16,13,0,4,12,0,7,3,2,0.8125,0,0.25,0.75,0,0.4375,0.1875,0.125
1032,638,638,0,139,371,0,172,12,102,1,0,0.217868339,0.581504702,0,0.269592476,0.018808777,0.159874608
1033,3894,3863,31,416,2783,0,1290,151,713,0.992039034,0.007960966,0.106831022,0.714689266,0,0.331278891,0.038777607,0.183102209
1034,4976,4964,11,201,3140,0,1517,133,462,0.997588424,0.002210611,0.040393891,0.631028939,0,0.304863344,0.026728296,0.092845659
1035,4124,3971,61,516,2631,0,1950,471,955,0.962900097,0.014791465,0.125121242,0.637972842,0,0.472841901,0.114209505,0.23157129
1036,6787,6782,30,131,5521,0,2003,372,585,0.999263297,0.004420215,0.019301606,0.813466922,0,0.295123029,0.054810667,0.086194195
1037,8,8,0,0,5,0,1,0,0,1,0,0,0.625,0,0.125,0,0
1038,946,937,14,33,635,0,434,126,209,0.990486258,0.014799154,0.034883721,0.671247357,0,0.458773784,0.133192389,0.220930233
